gender,year_of_birth,city,country,level_of_education,polarity,subjectivity,nb_messages,certificate_delivered,course_id
,,,,,0.29875001311302185,0.22499999403953552,1,N,CNAM/01002S04/session04
,,,,,0.08999999985098839,0.10000000149011612,2,N,CNAM/01002S04/session04
m,1971.0,metz,fr,m,0.11602227292169118,0.31040191138357237,480,Y,CNAM/01002S04/session04
m,1971.0,metz,fr,m,0.11602227292169118,0.31040191138357237,480,N,course-v1:MinesTelecom+0
m,1971.0,metz,fr,m,0.11602227292169118,0.31040191138357237,480,Y,MinesTelecom/04017S02/se
m,1971.0,metz,fr,m,0.11602227292169118,0.31040191138357237,480,N,MinesTelecom/04018S02/se
m,1971.0,metz,fr,m,0.11602227292169118,0.31040191138357237,480,N,MinesTelecom/04021S02/se
,,,,,0.0651666671037674,0.21916666626930237,5,Y,course-v1:MinesTelecom+0
f,1977.0,gaillard,fr,,0.09000783916248425,0.3017316286762555,237,N,course-v1:MinesTelecom+0
f,1977.0,gaillard,fr,,0.09000783916248425,0.3017316286762555,237,Y,MinesTelecom/04017S02/se
f,1977.0,gaillard,fr,,0.09000783916248425,0.3017316286762555,237,N,MinesTelecom/04018S02/se
f,1977.0,gaillard,fr,,0.09000783916248425,0.3017316286762555,237,N,MinesTelecom/04021S02/se
,,,,,0.20944444835186005,0.40000000099341076,3,N,MinesTelecom/04018/sessi
m,1979.0,,,jhs,0.25283333361148835,0.3021666660904884,5,N,CNAM/01002S04/session04
m,1979.0,,,jhs,0.25283333361148835,0.3021666660904884,5,N,course-v1:MinesTelecom+0
m,1979.0,,,jhs,0.25283333361148835,0.3021666660904884,5,N,MinesTelecom/04017/sessi
m,1979.0,,,jhs,0.25283333361148835,0.3021666660904884,5,N,MinesTelecom/04018/sessi
m,1979.0,,,jhs,0.25283333361148835,0.3021666660904884,5,N,MinesTelecom/04021/sessi
m,,,,,0.12904761731624603,0.223214291036129,2,N,course-v1:MinesTelecom+0
m,,,,,0.03416666644625366,0.26083333790302277,4,Y,course-v1:MinesTelecom+0
m,,,,,0.03416666644625366,0.26083333790302277,4,N,MinesTelecom/04021S02/se
m,1992.0,bordeaux,fr,m,0.2479861155152321,0.27500000099341076,3,N,MinesTelecom/04017/sessi
,,,,,0.08416666835546494,0.07916666567325592,2,N,course-v1:MinesTelecom+0
,,,,,0.17428570985794067,0.2785714268684387,1,Y,CNAM/01002S04/session04
,,,,,0.0,0.0,1,N,course-v1:MinesTelecom+0
m,1971.0,,,m,-0.07833333685994148,0.3125000074505806,4,N,course-v1:MinesTelecom+0
m,1971.0,,,m,-0.07833333685994148,0.3125000074505806,4,Y,MinesTelecom/04017S02/se
m,1971.0,,,m,-0.07833333685994148,0.3125000074505806,4,N,MinesTelecom/04018S02/se
,,,,,0.1537500023841858,0.21875,1,N,CNAM/01002S04/session04
m,,,,,0.06898148523436652,0.19074074054757753,9,N,course-v1:MinesTelecom+0
m,1943.0,nyons,fr,other,-0.24300000071525574,0.4000000014901161,5,N,course-v1:MinesTelecom+0
m,1943.0,nyons,fr,other,-0.24300000071525574,0.4000000014901161,5,N,MinesTelecom/04017S02/se
m,1943.0,nyons,fr,other,-0.24300000071525574,0.4000000014901161,5,N,MinesTelecom/04021/sessi
,,,,,0.033333333830038704,0.06666666766007741,3,N,course-v1:MinesTelecom+0
,,,,,0.5600000023841858,0.15000000596046448,1,Y,CNAM/01002S04/session04
,,,,,0.5600000023841858,0.15000000596046448,1,N,MinesTelecom/04021S02/se
,,paris,fr,,0.17612179526342794,0.2070726500107692,39,N,MinesTelecom/04017/sessi
,,,,,-0.10000000149011612,0.0,1,N,course-v1:MinesTelecom+0
m,,,,,0.10000000149011612,0.0,1,N,course-v1:MinesTelecom+0
m,1951.0,dijon,fr,jhs,0.11353377865529374,0.6103224405332616,19,N,course-v1:MinesTelecom+0
m,1951.0,dijon,fr,jhs,0.11353377865529374,0.6103224405332616,19,Y,MinesTelecom/04017S02/se
m,1951.0,dijon,fr,jhs,0.11353377865529374,0.6103224405332616,19,N,MinesTelecom/04018S02/se
m,1951.0,dijon,fr,jhs,0.11353377865529374,0.6103224405332616,19,N,MinesTelecom/04021S02/se
m,1967.0,clermont-ferrand,fr,p,0.10054894329773055,0.24764550477266312,9,N,course-v1:MinesTelecom+0
m,1967.0,clermont-ferrand,fr,p,0.10054894329773055,0.24764550477266312,9,N,MinesTelecom/04017/sessi
m,1967.0,clermont-ferrand,fr,p,0.10054894329773055,0.24764550477266312,9,N,MinesTelecom/04018/sessi
,,,,,0.27812498807907104,0.16875000298023224,1,N,CNAM/01002S04/session04
