,time,accuracy,f1
logistic,11.36683177947998,0.7724091969343552,0.7200840227802133
lda,7.140410661697388,0.7544151949350216,0.7104192040823919
adaboost,17.705698490142822,0.7780739753415529,0.704740792689414
rf,6.892906904220581,0.7750749750083306,0.7436934796941475
knn,0.1785590648651123,0.76541152949017,0.737110915788182
linear-svc,329.9594268798828,0.7574141952682439,0.6846982081495262
quadratic-svc,114.76290822029114,0.7697434188603799,0.6695941621417728
cubic-svc,124.04306125640869,0.769410196601133,0.6694303405456186
rbf-svc,79.53701543807983,0.7697434188603799,0.6695941621417728
xgboost,5.2298197746276855,0.7884038653782073,0.7580586487874971
