,time,accuracy,f1
logistic,6.819820404052734,0.7677440853048983,0.712929454667341
lda,8.55616021156311,0.7494168610463179,0.712539660212654
adaboost,10.839255571365356,0.773075641452849,0.6960524957620419
rf,4.437253713607788,0.7677440853048983,0.7418572710000415
knn,0.16852259635925293,0.7454181939353549,0.7148410973296221
linear-svc,346.37559032440186,0.7587470843052316,0.6870808727910545
quadratic-svc,59.77804231643677,0.7670776407864045,0.665967463356705
cubic-svc,78.49982905387878,0.7664111962679107,0.6662641857024587
rbf-svc,53.1280632019043,0.7664111962679107,0.6656399071151595
xgboost,3.717411994934082,0.7927357547484172,0.7617633125753908
